,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Ad_Res_Total,Ad_Res_Ind_Total,Pur_Total
0,1,5.0,2,17,2,4,0.0,7.5,7.76,7.5,14,110,32,48,73,3,12,16,A,0,71.0,F,H,65957.0,A,153,31,19.0
1,1,30.0,1,7,0,3,25.0,25.0,13.0,13.582127875507437,18,75,13,35,55,6,6,22,A,1,52.0,M,U,44284.5,A,103,34,33.0
2,0,14.56,5,12,3,5,15.0,15.0,11.25,14.67,19,57,14,35,53,6,17,22,S,1,79.0,F,U,44284.5,S,102,45,32.0
3,1,20.0,1,11,0,3,20.0,20.0,12.45,13.582127875507437,5,113,17,38,71,8,8,33,A,0,73.0,F,U,76293.0,A,126,49,32.0
4,1,5.0,3,15,2,7,3.0,4.33,3.8,4.0,17,118,13,28,63,6,12,24,S,1,68.0,F,H,113663.0,S,104,42,21.0
5,1,10.0,4,15,4,12,10.0,7.75,7.0,7.75,16,120,14,34,72,6,16,33,A,1,67.0,F,H,62230.0,A,120,55,29.0
6,0,14.56,3,12,3,8,18.0,18.0,14.58,18.0,24,111,11,32,63,6,17,27,A,1,78.0,M,H,62230.0,A,106,50,33.0
7,0,14.56,1,3,1,3,20.0,20.0,18.33,20.0,20,58,10,23,36,4,10,14,A,0,48.0,M,H,62230.0,A,69,28,24.0
8,1,13.0,4,16,3,9,5.0,7.75,8.06,7.0,24,122,6,26,60,3,14,27,S,1,49.0,F,H,56828.0,S,92,44,25.0
9,0,14.56,4,14,4,14,16.0,14.5,11.57,14.5,16,104,14,34,72,6,16,30,S,1,63.0,M,H,56828.0,S,120,52,34.0
10,0,14.56,3,5,0,1,15.0,12.67,10.6,13.582127875507437,19,40,11,30,32,6,6,13,S,1,73.0,M,H,56828.0,S,73,25,23.0
11,0,14.56,8,11,4,5,12.0,10.5,9.45,10.5,17,41,13,34,38,6,17,16,S,1,71.0,F,H,56828.0,S,85,39,31.0
12,0,14.56,4,27,3,13,5.0,4.5,3.78,4.33,16,123,12,32,74,5,15,29,S,1,37.0,F,H,56828.0,S,118,49,36.0
13,1,10.0,3,18,1,8,10.0,10.0,8.39,10.0,18,128,15,35,81,7,16,33,S,1,45.0,F,H,87665.0,S,131,56,31.0
14,0,14.56,4,18,4,10,25.0,26.25,21.61,26.25,17,128,15,34,84,6,16,33,A,1,42.0,F,H,87665.0,A,133,55,47.0
15,0,14.56,1,19,1,16,10.0,10.0,8.32,10.0,15,125,9,24,70,3,10,29,E,1,17.0,F,H,87665.0,Others,103,42,30.0
16,1,20.0,1,4,0,2,15.0,15.0,16.25,13.582127875507437,26,65,10,28,46,4,4,16,A,0,76.0,M,H,87665.0,A,84,24,20.0
17,0,14.56,3,3,0,0,10.0,13.33,13.33,13.582127875507437,16,28,13,27,24,6,6,11,A,1,40.0,F,H,87665.0,A,64,23,16.0
18,1,25.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,15,13,4,6,5,F,0,80.0,M,H,87665.0,Others,38,15,17.0
